question,preprocessed_query,ground_truth,expected_document,retrieved_documents,retrieval_scores,generated_answer,faithfulness,answer_relevancy,context_precision,context_recall,hit_rate,preprocessing_time,embedding_time,vector_retrieval_time,llm_time,total_response_time
How many days of sick leave are employees entitled to per year?,many days sick leave employees entitled per year,Employees are entitled to 12 days of paid sick leave per calendar year.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|EmployeeBenefits.pdf|LeavePolicy(1).pdf,0.7734|0.6449|0.5519|0.5165|0.5161,10 days,0.8,1.0,0.8,0.0,1.0,0.01,0.1466,2.76,1.0728,3.9894
What is the procedure for requesting casual leave?,procedure requesting casual leave,Casual leave must be requested at least 24 hours in advance through the HR portal and approved by the line manager.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf,0.6356|0.5673|0.5142|0.5117|0.5009,"Leave requests should be submitted through the company leave management system before the planned leave date. For emergency leave, it should be reported to the reporting manager as soon as reasonably possible.",1.0,0.8,0.2,0.6,1.0,0.0062,0.0361,2.5043,1.6385,4.1852
Are unused sick leaves encashable at the end of the year?,unused sick leaves encashable end year,Unused sick leaves cannot be encashed and lapse at the end of the calendar year.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf,0.4876|0.3932|0.341|0.3201|0.3142,I couldn't find this information in the uploaded company policies.,1.0,0.0,0.2,0.0,1.0,0.0108,0.0629,2.4668,0.3597,2.9002
What is the maximum number of consecutive casual leave days allowed?,maximum number consecutive casual leave days allowed,Employees can take a maximum of 3 consecutive days of casual leave without special approval.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|Company Training Period Policy.docx,0.6887|0.5479|0.5198|0.434|0.4314,3,0.0,1.0,0.8,0.9,1.0,0.0096,0.0482,2.4527,0.6217,3.1323
How many days of earned leave do employees accrue per month?,many days earned leave employees accrue per month,Employees accrue 1.5 days of earned leave per month of completed service.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|EmployeeBenefits.pdf,0.6226|0.5227|0.4957|0.4772|0.4694,I couldn't find this information in the uploaded company policies.,1.0,0.0,0.0,0.0,1.0,0.0093,0.0559,2.4322,0.4826,2.9799
What is the maternity leave duration for female employees?,maternity leave duration female employees,Female employees are eligible for 26 weeks of paid maternity leave for up to two surviving children.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|EmployeeBenefits.pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf,0.8256|0.6305|0.4928|0.4921|0.4559,26 weeks of paid maternity leave,1.0,1.0,0.8,0.8,1.0,0.0088,0.0456,2.4548,0.6146,3.1239
"Is paternity leave offered by the company, and for how long?",paternity leave offered company long,Male employees are entitled to 5 days of paid paternity leave upon the birth or adoption of a child.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|EmployeeBenefits.pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf,0.76|0.4756|0.3439|0.3346|0.3144,"Yes, the company offers paternity leave for 10 working days, to be taken within six months of the child's birth or adoption.",1.0,1.0,0.9,0.0,1.0,0.01,0.0475,2.4612,0.5023,3.0211
What happens to earned leave if an employee resigns?,happens earned leave if employee resigns,Accumulated earned leave up to 30 days will be encashed during the final settlement upon resignation.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|EmployeeBenefits.pdf|LeavePolicy(1).pdf,0.4868|0.4749|0.467|0.4644|0.4524,I couldn't find this information in the uploaded company policies.,1.0,0.0,0.0,0.0,1.0,0.0118,0.0493,2.4473,0.352,2.8604
Can sick leave be combined with casual leave?,sick leave combined casual leave,Sick leave cannot be combined with casual leave unless authorized by HR under medical emergencies.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|EmployeeBenefits.pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf,0.6624|0.5768|0.4481|0.419|0.4172,I couldn't find this information in the uploaded company policies.,1.0,0.0,0.2,0.0,1.0,0.0172,0.0431,2.8082,0.3913,3.2597
Is a medical certificate required for sick leave exceeding two days?,medical certificate required sick leave exceeding two days,"Yes, a valid doctor's medical certificate is required for any sick leave exceeding 2 consecutive days.",LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf,0.7037|0.4281|0.4021|0.3694|0.3546,A medical certificate may be required for absences exceeding two consecutive working days.,0.0,0.9,0.9,0.8,1.0,0.0113,0.0468,2.7399,0.4252,3.2233
What is the policy for bereavement leave?,policy bereavement leave,Employees are eligible for up to 5 days of paid bereavement leave in the event of the loss of an immediate family member.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|EmployeeBenefits.pdf,0.7529|0.5254|0.4865|0.4812|0.4674,Employees may receive up to 5 working days of paid bereavement leave following the death of an immediate family member.,1.0,1.0,0.1,0.8,1.0,0.0104,0.0423,4.2253,0.4687,4.7467
How many days of work from home are allowed per week?,many days work home allowed per week,Employees are allowed up to 2 days of work from home per week subject to manager approval.,WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.5406|0.5094|0.5071|0.503|0.47,I couldn't find this information in the uploaded company policies.,1.0,0.0,0.0,0.0,1.0,0.0111,0.0425,2.9348,0.3614,3.3498
What are the core core working hours during work from home?,core core working hours during work home,Core working hours during WFH are 10:00 AM to 5:00 PM local time.,WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|Training_Period_Policy.pdf|WorkFromHomePolicy.pdf,0.5444|0.3993|0.3697|0.3438|0.3288,9:00 AM to 6:00 PM,0.5,0.8,0.8,0.0,1.0,0.0102,0.0457,2.7945,0.5036,3.354
Who must approve a work from home request?,approve work home request,Work from home requests must be approved by the employee's direct reporting manager.,WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.5503|0.5148|0.5052|0.4983|0.4963,Manager,0.0,0.9,0.2,0.8,1.0,0.0112,0.0487,2.9968,0.4492,3.5058
Are employees eligible for internet reimbursement during remote work?,employees eligible internet reimbursement during remote work,Employees working remotely full-time or on approved long-term WFH are eligible for a monthly internet allowance.,WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.5959|0.5827|0.5717|0.5669|0.5353,I couldn't find this information in the uploaded company policies.,1.0,0.2,0.0,0.0,1.0,0.0086,0.0477,4.8309,0.493,5.3803
What hardware requirements are necessary for working from home?,hardware requirements necessary working home,Employees must use company-issued laptops connected via the secure VPN for all WFH duties.,WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.4636|0.4453|0.4059|0.3823|0.3714,Reliable internet connectivity and appropriate equipment,0.5,0.8,0.2,0.0,1.0,0.0084,0.0496,3.5093,0.4189,3.9862
Can an employee work from an international location during WFH?,employee work international location during work home,"Working from an international location requires advance approval from HR, IT security, and compliance.",WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.523|0.5189|0.5176|0.5077|0.5019,I couldn't find this information in the uploaded company policies.,1.0,0.0,0.0,0.0,1.0,0.0121,0.0488,2.7797,0.4655,3.3061
What is the expectation for employee availability during WFH hours?,expectation employee availability during work home hours,"Employees must remain available via Slack, Microsoft Teams, and email during business hours.",WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.6106|0.5421|0.5222|0.5164|0.5119,Employees are expected to remain available during core business hours and follow their normal working hours of 9:00 AM to 6:00 PM unless otherwise approved.,0.9,0.9,0.4,0.5,1.0,0.0086,0.047,3.4922,0.4727,4.0206
How far in advance must WFH requests be submitted?,far advance work home requests submitted,WFH requests should be submitted at least 24 hours prior to the requested remote workday.,WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.4588|0.4302|0.4258|0.4124|0.3993,I couldn't find this information in the uploaded company policies.,1.0,0.0,0.0,0.0,1.0,0.0109,0.0563,3.1799,0.4322,3.6793
What happens if an employee experiences a power outage during WFH?,happens if employee experiences power outage during work home,"If power or internet outage exceeds 2 hours, the employee must inform their manager and report to the office if feasible.",WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.4767|0.4626|0.4558|0.4529|0.4413,I couldn't find this information in the uploaded company policies.,1.0,0.0,0.0,0.0,1.0,0.016,0.0505,2.7807,0.4314,3.2786
Can probationers apply for work from home?,probationers apply work home,Probationary employees are generally required to work from office unless explicit exemption is granted by HR.,WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.441|0.3963|0.3821|0.38|0.3711,I couldn't find this information in the uploaded company policies.,1.0,0.0,0.0,0.0,1.0,0.0126,0.0561,2.97,0.4535,3.4922
What is the password change policy frequency according to IT security?,password change policy frequency according security,Employees must update their passwords every 90 days following security guidelines.,IT security policy.pdf,IT security policy.pdf|IT security policy.pdf|WorkFromHomePolicy.pdf|IT security policy.pdf|Dress_Code_Policy.pdf,0.575|0.3739|0.3518|0.3499|0.3313,every 90 days,0.8,0.9,0.6,0.8,1.0,0.0096,0.0353,2.8838,0.3914,3.32
Are multi-factor authentication (MFA) requirements mandatory?,multi factor authentication mfa requirements mandatory,"Yes, Multi-Factor Authentication (MFA) is mandatory for accessing company systems and applications.",IT security policy.pdf,IT security policy.pdf|WorkFromHomePolicy.pdf|EmployeeBenefits.pdf|IT security policy.pdf|IT security policy.pdf,0.5685|0.2869|0.2817|0.2292|0.2285,"Yes, Multi-Factor Authentication (MFA) is mandatory for all corporate applications.",1.0,1.0,0.8,0.8,1.0,0.0087,0.0509,2.9092,0.6106,3.5794
What is the protocol for reporting lost or stolen company devices?,protocol reporting lost stolen company devices,Lost or stolen company devices must be reported immediately to the IT Helpdesk and Security Team within 2 hours.,IT security policy.pdf,WorkFromHomePolicy.pdf|IT security policy.pdf|IT security policy.pdf|IT security policy.pdf|IT security policy.pdf,0.4359|0.3758|0.3548|0.3459|0.3455,Lost or stolen devices must be reported to the IT department within one hour of discovery.,0.8,0.9,0.4,0.8,1.0,0.0093,0.0336,2.7867,0.728,3.5576
